bachelier|bachelier2|bacheler|*BACCALARIS||NOUN||Masc,Plur,Nom|g,p,v
bacheliers|bacheliers2|bacheler|*BACCALARIS||NOUN||Masc,Plur,Nom|g,p,v
baigna|baigna|baignier|BALNEARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
bailla|bailla|baillier|BAJULARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
baillirent|baillirent|baillier|BAJULARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur|g,p,v
baillé|baillé1|baillier|BAJULARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
bains|bains|bain|BALNEUM||NOUN||Masc,Sing,Nom|g,p,v
baisa|baisa|baisier|BASIARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
baisast|baisast|baisier|BASIARE||VERB||Fin,Sub,Pres,Act,Trans,3,Sing|g,p,v
baiserent|baiserent|baisier|BASIARE||VERB||Fin,Ind,Past,Rfl,3,Plur|g,p,v
barons|barons2|baron|*BARO||NOUN||Masc,Plur,Nom|g,p,v
barons|barons3|baron|*BARO||NOUN||Masc,Plur,Acc|g,p,v
baset|baset|basset|BASSUS||ADJ|Adv|Masc,Sing,Nom|g,p,v
bataille|bataille|bataille|BATTUALIA||NOUN||Fem,Sing|g,p,v
batel|batel1|batel2|BAT||NOUN||Masc,Sing,Acc|g,p,v
batus|batus|batre|BATTUERE||VERB|Adj|Ind,Part,Past,Sing,Masc|g,p,v
beisoins|beisoins|besoing|*SUNNI||NOUN||Masc,Sing,Nom|g,p,v
bel|bel|bel|BELLUS||ADJ||Masc,Sing,Nom|g,p,v
bel|bel1|bel|BELLUS||ADJ||Masc,Sing,Acc|g,p,v
bel|bel2|bel|BELLUS||ADJ||Neut,Sing,Nom|g,p,v
bel|bel8|bel|BELLUS||ADV||Man|g,p,v
belle|belle|bel|BELLUS||ADJ||Fem,Sing|g,p,v
belle|belle1|bel|BELLUS||ADJ||Fem,Plur|g,p,v
bellement|bellement|belement|BELLUS||ADV||Man|g,p,v
belles|belles|bel|BELLUS||ADJ||Fem,Plur|g,p,v
besoigne|besoigne|besoigne|*SUNNI||NOUN||Fem,Sing|g,p,v
biau|biau|bel|BELLUS||ADJ||Masc,Sing,Nom|g,p,v
biau|biau2|bel|BELLUS||ADJ||Masc,Plur,Nom|g,p,v
biaus|biaus|bel|BELLUS||ADJ||Masc,Sing,Nom|g,p,v
biauté|biauté|biauté|BELLUS||NOUN||Fem,Sing|g,p,v
biaux|biaux|bel|BELLUS||ADJ||Masc,Sing,Nom|g,p,v
bien|bien|bien2|BENE||NOUN||Masc,Sing,Nom|g,p,v
bien|bien1|bien2|BENE||NOUN||Masc,Sing,Acc|g,p,v
bien|bien3|bien2|BENE||NOUN||Masc,Plur,Acc|g,p,v
bien|bien4|bien2|BENE||ADV||Man|g,p,v
blanc|blanc1|blanc|*BLANK||ADJ||Masc,Sing,Acc|g,p,v
blanche|blanche|blanc|*BLANK||ADJ||Fem,Plur|g,p,v
blanches|blanches|blanc|*BLANK||ADJ||Fem,Plur|g,p,v
blant|blant|brant1|BRAND1||NOUN||Masc,Sing,Acc|g,p,v
blasmee|blasmee|blasmer|BLASPHEMARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
blasmés|blasmés|blasmer|BLASPHEMARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
bliaut|bliaut|blïaut|||NOUN||Masc,Sing,Acc|g,p,v
blondes|blondes|blont|*BLUNðA-||ADJ||Fem,Plur|g,p,v
boche|boche|boche|BUCCA||NOUN||Fem,Sing|g,p,v
bon|bon1|bon|BONUS||ADJ||Masc,Sing,Acc|g,p,v
bone|bone|bon|BONUS||ADJ||Fem,Sing|g,p,v
bonté|bonté|bonté|BONITAS||NOUN||Fem,Sing|g,p,v
bordés|bordés|border1|*BORD||VERB|Adj|Ind,Part,Past,Plur,Masc|g,p,v
borgiois|borgiois|borjois|*BURG-||NOUN||Masc,Plur,Acc|g,p,v
bouche|bouche|boche|BUCCA||NOUN||Fem,Sing|g,p,v
brachet|brachet|brachet|*BRAKKO||NOUN||Masc,Plur,Acc|g,p,v
bras|bras|braz|BRACHIUM||PROPN||Masc,Sing,Acc|g,p,v
bras|bras1|braz|BRACHIUM||NOUN||Masc,Plur,Acc|g,p,v
brief|brief|brief|BREVIS||ADJ||Masc,Plur,Acc|g,p,v
